Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity,Chrome 114.0.0.0,,,2023-07-09 20:57:24,2023-07-09 21:04:31,7m - 7.880s,FAILED
,,,,,,,
Test Cases/Sanity/SIQ-TC-12402,Chrome 114.0.0.0,,,2023-07-09 20:57:24,2023-07-09 20:59:49,2m - 24.798s,PASSED
"callTestCase(findTestCase(""Login Logout/Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 20:57:25,2023-07-09 20:57:59,33.454s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 20:57:59,2023-07-09 20:58:05,6.015s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), 10)",Chrome 114.0.0.0,,,2023-07-09 20:58:05,2023-07-09 20:58:05,0.496s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 20:58:05,2023-07-09 20:58:06,0.523s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-09 20:58:06,2023-07-09 20:58:07,1.332s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""), 10)",Chrome 114.0.0.0,,,2023-07-09 20:58:07,2023-07-09 20:58:14,6.776s,PASSED
"rightClick(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""))",Chrome 114.0.0.0,,,2023-07-09 20:58:14,2023-07-09 20:58:15,1.799s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Folder""))",Chrome 114.0.0.0,,,2023-07-09 20:58:15,2023-07-09 20:58:17,1.630s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Name""), 10)",Chrome 114.0.0.0,,,2023-07-09 20:58:17,2023-07-09 20:58:18,0.502s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_FolderName""), QL)",Chrome 114.0.0.0,,,2023-07-09 20:58:18,2023-07-09 20:58:21,3.170s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_slds-button slds-button_brand""))",Chrome 114.0.0.0,,,2023-07-09 20:58:21,2023-07-09 20:58:21,0.637s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_12345""))",Chrome 114.0.0.0,,,2023-07-09 20:58:21,2023-07-09 20:58:25,4.064s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-09 20:58:25,2023-07-09 20:58:26,0.906s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-09 20:58:26,2023-07-09 20:58:27,0.440s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.629s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.003s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""))",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.002s,NOT_RUN
now = new java.util.Date(),Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.017s,PASSED
"val = now.format(""yyyy-mm-dd HH:mm:s"")",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.006s,PASSED
"println(""Test"" + val)",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.005s,PASSED
Nameof = val,Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.001s,PASSED
"println(""GVB"" + Nameof)",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.001s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:27,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-09 20:58:27,2023-07-09 20:58:30,2.883s,PASSED
delay(8),Chrome 114.0.0.0,,,2023-07-09 20:58:30,2023-07-09 20:58:38,8.011s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-09 20:58:38,2023-07-09 20:58:39,0.487s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Business UnitBusiness UnitVacAllergybuB_99ca2d""))",Chrome 114.0.0.0,,,2023-07-09 20:58:39,2023-07-09 20:58:39,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Business Unit""))",Chrome 114.0.0.0,,,2023-07-09 20:58:39,2023-07-09 20:58:40,0.848s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Vac""))",Chrome 114.0.0.0,,,2023-07-09 20:58:40,2023-07-09 20:58:40,0.632s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Team""))",Chrome 114.0.0.0,,,2023-07-09 20:58:40,2023-07-09 20:58:41,0.932s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Alpha""))",Chrome 114.0.0.0,,,2023-07-09 20:58:41,2023-07-09 20:58:42,0.600s,PASSED
