Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity,Chrome 114.0.0.0,,,2023-07-09 23:22:53,2023-07-09 23:28:58,6m - 4.840s,FAILED
,,,,,,,
Test Cases/Sanity/SIQ-TC-12402,Chrome 114.0.0.0,,,2023-07-09 23:22:54,2023-07-09 23:25:15,2m - 20.723s,PASSED
"callTestCase(findTestCase(""Login Logout/Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 23:22:55,2023-07-09 23:23:29,33.915s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 23:23:29,2023-07-09 23:23:35,6.013s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), 10)",Chrome 114.0.0.0,,,2023-07-09 23:23:35,2023-07-09 23:23:35,0.424s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 23:23:35,2023-07-09 23:23:36,0.647s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-09 23:23:36,2023-07-09 23:23:37,0.948s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""), 10)",Chrome 114.0.0.0,,,2023-07-09 23:23:37,2023-07-09 23:23:44,7.282s,PASSED
"rightClick(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""))",Chrome 114.0.0.0,,,2023-07-09 23:23:44,2023-07-09 23:23:46,2.223s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Folder""))",Chrome 114.0.0.0,,,2023-07-09 23:23:46,2023-07-09 23:23:47,1.210s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Name""), 10)",Chrome 114.0.0.0,,,2023-07-09 23:23:47,2023-07-09 23:23:48,0.454s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_FolderName""), QL)",Chrome 114.0.0.0,,,2023-07-09 23:23:48,2023-07-09 23:23:51,3.151s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_slds-button slds-button_brand""))",Chrome 114.0.0.0,,,2023-07-09 23:23:51,2023-07-09 23:23:52,0.647s,PASSED
"scrollToElement(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_12345""), 0)",Chrome 114.0.0.0,,,2023-07-09 23:23:52,2023-07-09 23:23:56,3.862s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_12345""))",Chrome 114.0.0.0,,,2023-07-09 23:23:56,2023-07-09 23:23:56,0.803s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-09 23:23:56,2023-07-09 23:23:57,0.966s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-09 23:23:57,2023-07-09 23:23:58,0.441s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.607s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.005s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""))",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.000s,NOT_RUN
now = new java.util.Date(),Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.012s,PASSED
"val = now.format(""yyyy-mm-dd HH:mm:s"")",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.004s,PASSED
"println(""Test"" + val)",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.005s,PASSED
Nameof = val,Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.000s,PASSED
"println(""GVB"" + Nameof)",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.001s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:23:58,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-09 23:23:58,2023-07-09 23:24:01,2.477s,PASSED
delay(8),Chrome 114.0.0.0,,,2023-07-09 23:24:01,2023-07-09 23:24:09,8.005s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-09 23:24:09,2023-07-09 23:24:09,0.473s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Business UnitBusiness UnitVacAllergybuB_99ca2d""))",Chrome 114.0.0.0,,,2023-07-09 23:24:09,2023-07-09 23:24:09,0.003s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Business Unit""))",Chrome 114.0.0.0,,,2023-07-09 23:24:09,2023-07-09 23:24:10,0.946s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Vac""))",Chrome 114.0.0.0,,,2023-07-09 23:24:10,2023-07-09 23:24:11,0.612s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Team""))",Chrome 114.0.0.0,,,2023-07-09 23:24:11,2023-07-09 23:24:12,0.933s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Alpha""))",Chrome 114.0.0.0,,,2023-07-09 23:24:12,2023-07-09 23:24:12,0.610s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_ProductSelect ProductAllCRESMBAGARDASIL_ddc9a7""))",Chrome 114.0.0.0,,,2023-07-09 23:24:12,2023-07-09 23:24:12,0.001s,NOT_RUN
delay(8),Chrome 114.0.0.0,,,2023-07-09 23:24:12,2023-07-09 23:24:21,8.015s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Product""))",Chrome 114.0.0.0,,,2023-07-09 23:24:21,2023-07-09 23:24:21,0.602s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_GARDASIL""))",Chrome 114.0.0.0,,,2023-07-09 23:24:21,2023-07-09 23:24:22,0.649s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Time Period""))",Chrome 114.0.0.0,,,2023-07-09 23:24:22,2023-07-09 23:24:22,0.522s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Daily""))",Chrome 114.0.0.0,,,2023-07-09 23:24:22,2023-07-09 23:24:23,0.538s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Date_date""), ""7/4/2004"")",Chrome 114.0.0.0,,,2023-07-09 23:24:23,2023-07-09 23:24:24,0.988s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-09 23:24:24,2023-07-09 23:24:29,5.012s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Cancel and close""))",Chrome 114.0.0.0,,,2023-07-09 23:24:29,2023-07-09 23:24:29,0.580s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Cancel and close""))",Chrome 114.0.0.0,,,2023-07-09 23:24:29,2023-07-09 23:24:31,1.836s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-09 23:24:31,2023-07-09 23:24:36,5.012s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Super Admin Integration_roster-group""))",Chrome 114.0.0.0,,,2023-07-09 23:24:36,2023-07-09 23:24:37,0.687s,PASSED
delay(8),Chrome 114.0.0.0,,,2023-07-09 23:24:37,2023-07-09 23:24:45,8.015s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Save""))",Chrome 114.0.0.0,,,2023-07-09 23:24:45,2023-07-09 23:24:46,0.628s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Next""))",Chrome 114.0.0.0,,,2023-07-09 23:24:46,2023-07-09 23:24:46,0.595s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Next_1""))",Chrome 114.0.0.0,,,2023-07-09 23:24:46,2023-07-09 23:25:10,23.860s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Generate Cycle""))",Chrome 114.0.0.0,,,2023-07-09 23:25:10,2023-07-09 23:25:15,4.536s,PASSED
,,,,,,,
Test Cases/Sanity/SIQ-TC-12405,Chrome 114.0.0.0,,,2023-07-09 23:25:15,2023-07-09 23:26:50,1m - 34.999s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder (1)/Deligate HO/Page_Lightning Experience  Salesforce/button_View Full Hierarchy""), 0)",Chrome 114.0.0.0,,,2023-07-09 23:25:15,2023-07-09 23:25:46,30.411s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder (1)/Deligate HO/Page_Lightning Experience  Salesforce/label_Product""), 30)",Chrome 114.0.0.0,,,2023-07-09 23:25:46,2023-07-09 23:26:17,31.729s,PASSED
"click(findTestObject(""Object Repository/New Folder (1)/Deligate HO/Page_Lightning Experience  Salesforce/button_Submit""))",Chrome 114.0.0.0,,,2023-07-09 23:26:17,2023-07-09 23:26:18,0.468s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 23:26:18,2023-07-09 23:26:24,6.011s,PASSED
