Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity,Chrome 114.0.0.0,,,2023-07-09 23:59:17,2023-07-10 00:06:20,7m - 2.773s,FAILED
,,,,,,,
Test Cases/Sanity/SIQ-TC-12402,Chrome 114.0.0.0,,,2023-07-09 23:59:17,2023-07-10 00:01:42,2m - 24.898s,PASSED
"callTestCase(findTestCase(""Login Logout/Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 23:59:19,2023-07-09 23:59:52,33.279s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 23:59:52,2023-07-09 23:59:58,6.021s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), 10)",Chrome 114.0.0.0,,,2023-07-09 23:59:58,2023-07-09 23:59:59,0.515s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 23:59:59,2023-07-09 23:59:59,0.537s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-09 23:59:59,2023-07-10 00:00:01,1.344s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""), 10)",Chrome 114.0.0.0,,,2023-07-10 00:00:01,2023-07-10 00:00:07,6.583s,PASSED
"rightClick(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""))",Chrome 114.0.0.0,,,2023-07-10 00:00:07,2023-07-10 00:00:09,1.523s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Folder""))",Chrome 114.0.0.0,,,2023-07-10 00:00:09,2023-07-10 00:00:11,1.971s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Name""), 10)",Chrome 114.0.0.0,,,2023-07-10 00:00:11,2023-07-10 00:00:11,0.486s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_FolderName""), QL)",Chrome 114.0.0.0,,,2023-07-10 00:00:11,2023-07-10 00:00:16,4.498s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_slds-button slds-button_brand""))",Chrome 114.0.0.0,,,2023-07-10 00:00:16,2023-07-10 00:00:16,0.649s,PASSED
"scrollToElement(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_12345""), 0)",Chrome 114.0.0.0,,,2023-07-10 00:00:16,2023-07-10 00:00:20,3.640s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_12345""))",Chrome 114.0.0.0,,,2023-07-10 00:00:20,2023-07-10 00:00:21,0.798s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-10 00:00:21,2023-07-10 00:00:22,0.861s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-10 00:00:22,2023-07-10 00:00:22,0.390s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-10 00:00:22,2023-07-10 00:00:23,0.628s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""))",Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.001s,NOT_RUN
now = new java.util.Date(),Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.015s,PASSED
"val = now.format(""yyyy-mm-dd HH:mm:s"")",Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.003s,PASSED
"println(""Test"" + val)",Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.007s,PASSED
Nameof = val,Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.001s,PASSED
"println(""GVB"" + Nameof)",Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.001s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:23,0.018s,NOT_RUN
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-10 00:00:23,2023-07-10 00:00:27,4.628s,PASSED
delay(8),Chrome 114.0.0.0,,,2023-07-10 00:00:27,2023-07-10 00:00:35,8.006s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-10 00:00:35,2023-07-10 00:00:36,0.493s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Business UnitBusiness UnitVacAllergybuB_99ca2d""))",Chrome 114.0.0.0,,,2023-07-10 00:00:36,2023-07-10 00:00:36,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Business Unit""))",Chrome 114.0.0.0,,,2023-07-10 00:00:36,2023-07-10 00:00:37,0.959s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Vac""))",Chrome 114.0.0.0,,,2023-07-10 00:00:37,2023-07-10 00:00:37,0.632s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Team""))",Chrome 114.0.0.0,,,2023-07-10 00:00:37,2023-07-10 00:00:38,0.938s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Alpha""))",Chrome 114.0.0.0,,,2023-07-10 00:00:38,2023-07-10 00:00:39,0.612s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_ProductSelect ProductAllCRESMBAGARDASIL_ddc9a7""))",Chrome 114.0.0.0,,,2023-07-10 00:00:39,2023-07-10 00:00:39,0.000s,NOT_RUN
delay(8),Chrome 114.0.0.0,,,2023-07-10 00:00:39,2023-07-10 00:00:47,8.009s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Product""))",Chrome 114.0.0.0,,,2023-07-10 00:00:47,2023-07-10 00:00:47,0.542s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_GARDASIL""))",Chrome 114.0.0.0,,,2023-07-10 00:00:47,2023-07-10 00:00:48,0.543s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Time Period""))",Chrome 114.0.0.0,,,2023-07-10 00:00:48,2023-07-10 00:00:49,0.609s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Daily""))",Chrome 114.0.0.0,,,2023-07-10 00:00:49,2023-07-10 00:00:49,0.599s,PASSED
